mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
29.15715:-82.24292#,0.63849,3,2
30.51473:-86.46454#,0.99981,3,2
25.65630:-80.42665#,0.94319,3,1.67
25.70156:-80.34580#,1,3,1.67
27.43238:-82.43257#,1,3,1.6
25.71670:-80.34520#,1,3,1.55
30.44393:-84.27752#,0.7818,3,1.5
27.47307:-81.46882#,1,3,1.29
26.33561:-80.20030#,1,3,1.26
27.00908:-82.14705#,0.99228,3,1.25
30.38474:-87.09732#,0.99999,3,1.25
26.38101:-80.07698#,0.99999,3,1.22
28.81162:-81.73098#,1,3,1.2
28.03378:-82.46924#103,1,3,1.14
26.23160:-80.10057#,1,3,1.11
25.79773:-80.32468#,1,3,1.05
25.81072:-80.32622#559,0.99999,3,1
26.03247:-80.20466#,0.99961,3,1
26.05634:-80.20725#,0.99696,3,1
26.18765:-80.19684#3,0.9998,3,1
26.32036:-80.09005#,0.99965,3,1
27.19284:-80.25330#,0.82496,3,1
28.34239:-81.48466#,0.99997,3,1
28.15132:-82.46121#,1,3,0.93
28.40158:-81.40377#,0.99998,3,0.92
28.41519:-81.40412#5,1,3,0.92
27.80563:-82.63632#,0.95918,3,0.9
25.70208:-80.35669#,1,3,0.89
27.06053:-80.13888#,1,3,0.89
25.82114:-80.32509#,1,3,0.88
27.96039:-82.76965#,1,3,0.88
28.21811:-82.71272#,1,3,0.86
29.15327:-80.99294#,0.92396,3,0.85
28.04872:-82.58352#,0.89258,3,0.84
26.23196:-80.14534#,0.99999,3,0.83
27.71361:-82.71468#205,0.56766,3,0.83
28.37979:-81.40583#,0.99998,3,0.83
26.15707:-80.13226#,0.72306,3,0.8
26.67926:-80.11161#F,0.99998,3,0.76
25.92234:-80.30853#,0.63899,3,0.75
28.80531:-81.33805#,0.62597,3,0.75
26.20899:-80.25699#,1,3,0.74
26.18287:-80.13358#,1,3,0.73
28.03548:-80.60802#,1,3,0.71
26.24453:-80.25183#,0.9801,3,0.7
28.08842:-82.50253#,1,3,0.7
28.10333:-82.74029#,1,3,0.7
28.55101:-81.75870#,1,3,0.7
27.89520:-82.52097#,1,3,0.69
30.23683:-81.74076#,1,3,0.66
27.92175:-82.29729#,1,3,0.65
30.46166:-84.28343#,0.60299,3,0.65
25.66292:-80.41719#,1,3,0.62
27.83950:-82.72694#,1,3,0.62
30.14745:-85.59041#,0.99999,3,0.62
25.64997:-80.33474#,1,3,0.61
27.27023:-80.28861#,1,3,0.61
26.01422:-80.25158#,0.66227,3,0.6
26.17847:-80.26584#,1,3,0.6
26.38057:-80.07687#,0.99982,3,0.6
30.16419:-81.73910#,1,3,0.59
27.94352:-82.48483#,0.88966,3,0.58
30.27026:-81.55825#103,1,3,0.58
30.46353:-84.27172#,0.97215,3,0.58
25.94471:-81.73223#,0.99999,3,0.57
27.23340:-80.26722#,1,3,0.56
28.08876:-82.74082#,0.71323,3,0.56
26.00951:-80.35675#,0.84441,3,0.55
26.08841:-80.25182#,1,3,0.55
27.62504:-80.39546#,0.51251,3,0.55
27.91697:-82.75168#,0.50503,3,0.55
28.34948:-81.61390#,0.62031,3,0.55
28.65098:-81.20516#,0.99744,3,0.55
27.19877:-80.25654#,0.99998,3,0.53
29.68036:-82.33972#A,1,3,0.52
25.68795:-80.38104#,0.53497,3,0.5
25.69342:-80.30192#,0.99999,3,0.5
25.69743:-80.44695#,0.96481,3,0.5
25.75228:-80.26136#,1,3,0.5
26.02646:-80.31376#,0.73215,3,0.5
27.81972:-82.63915#,0.87882,3,0.5
28.05457:-82.50485#,0.89727,3,0.5
28.51186:-81.37249#,0.50736,3,0.5
30.18580:-81.73542#,0.6211,3,0.5
30.29771:-81.61612#A,0.5782,3,0.5
26.18895:-80.14412#,0.99994,3,0.48
26.52138:-81.87054#,1,3,0.48
26.52824:-80.08710#,0.64766,3,0.48
28.55066:-81.36425#,1,3,0.47
25.70293:-80.29012#,0.64021,3,0.45
26.00670:-80.38294#,0.67065,3,0.45
26.16918:-80.30145#,0.77492,3,0.45
26.35068:-80.08504#,0.98043,3,0.45
28.46583:-81.39770#603,0.99815,3,0.45
26.27493:-80.11498#,1,3,0.44
26.23147:-80.11055#,1,3,0.42
29.10997:-81.03244#,0.78248,3,0.41
25.66338:-80.40611#,0.50448,3,0.4
25.92629:-80.16020#,0.97553,3,0.4
26.03456:-80.19559#,0.87109,3,0.4
26.31871:-80.13355#,0.99995,3,0.4
28.02426:-82.50736#,0.62991,3,0.4
27.29852:-82.50836#,0.83576,3,0.39
27.94220:-82.49795#,0.62871,3,0.36
30.24868:-81.74627#,0.99999,3,0.36
26.10687:-80.10578#,0.77322,3,0.35
26.40725:-81.80874#,0.94385,3,0.35
27.90446:-82.49408#,0.99274,3,0.35
27.94412:-82.52348#,0.70137,3,0.35
28.07739:-82.50831#,0.72509,3,0.35
28.45825:-81.46952#,0.81486,3,0.35
28.56755:-81.32722#,0.78439,3,0.35
28.60142:-81.32679#,0.59757,3,0.35
27.77117:-82.72407#,0.51959,3,0.33
25.76166:-80.33127#,0.98213,3,0.3
26.36960:-80.07622#,0.99576,3,0.3
28.05338:-82.43338#,0.51127,3,0.3
30.16608:-81.70435#,0.99941,3,0.3
28.51539:-81.37882#,0.97197,3,0.28
27.89685:-82.84803#3,0.64742,3,0.27
25.47539:-80.43485#,0.52094,3,0.25
26.21659:-80.10824#,0.72032,3,0.25
30.31913:-81.46113#,0.7995,3,0.25
26.41180:-80.07685#404,0.75691,3,0.22
26.09030:-80.24981#,0.66566,3,0.2
26.60633:-80.11514#,0.57363,3,0.2
26.84627:-80.05884#60,0.9346,3,0.2
26.02240:-80.20784#,0.99998,2,2
26.32193:-80.20359#,0.99988,2,2
26.59407:-81.81439#,0.95243,2,2
28.10567:-80.62235#,0.99973,2,2
28.01751:-82.50545#,0.74828,2,1.5
28.39524:-80.70486#,0.99988,2,1.25
27.96161:-82.79468#,0.99999,2,1.11
26.18003:-81.79923#,0.99962,2,1
26.19802:-81.79993#,1,2,1
26.21153:-80.25080#,0.99999,2,1
26.62035:-80.13547#,0.99997,2,1
27.91578:-82.71109#,0.99992,2,1
30.19020:-85.70916#,1,2,1
30.48621:-87.19848#,0.99998,2,1
28.11672:-80.62590#,0.99999,2,0.91
28.66078:-81.17817#,0.99389,2,0.88
26.05306:-80.20664#,1,2,0.83
28.51467:-81.28717#,1,2,0.83
26.37744:-81.80694#,0.99999,2,0.8
26.88356:-80.05940#,0.99998,2,0.8
27.77717:-82.66914#,0.99978,2,0.8
30.41101:-87.21173#,0.57674,2,0.8
27.27263:-80.28845#,1,2,0.77
26.10691:-81.74664#,1,2,0.75
26.18888:-80.14596#,1,2,0.75
27.94444:-82.50312#,1,2,0.75
30.21787:-81.55287#,0.99976,2,0.75
28.80029:-81.64619#,0.50504,2,0.7
